X,Y
1,0.5769278929627997
2,0.3434553039659155
3,0.18373890579413307
4,0.14222967867348543
5,0.03645013572000204
6,0.05491718741619174
7,0.14083468246121325
8,0.11437968146205725
9,0.07722428706849573
10,0.009770551868790991
11,-0.034117068401501326
12,-0.12366844520509934
13,-0.3047428405583659
14,-0.3666792562814661
15,-0.3955622341907539
16,-0.2289635707970448
17,-0.19855254185378887
18,-0.10356332687784896
19,-0.06240473895369787
20,-0.14741654765076442
21,-0.15837113933261368
22,-0.1828696476426239
23,-0.08920956022102568
24,-0.08161416559493122
25,0.0161213189274525
26,0.044654648953044364
27,0.09847076771549435
28,0.16494538707680026
29,0.18132341933083304
30,0.19536182092875262
31,0.12385350436522222
32,0.09542903661804406
33,0.007250827234986161
34,-0.0023281608683897326
35,0.04266237400290379
36,0.042781016799939064
37,0.06121543085719046
38,0.009092030091022545
39,0.09170333781320096
40,0.10093270268704074
41,0.09722787507847172
42,0.01912046075605199
43,-0.1312370212770418
44,-0.13657778287442
45,-0.10985287161030487
46,-0.0563950745993712
47,-0.03372764199708059
48,0.07560395460444576
49,0.07898640989689754
50,0.009942451321293212
51,0.0007958087168891822
52,0.011791908185303304
53,-0.0013659520473258714
54,-0.10783932535593697
55,-0.0900996035138205
56,-0.0217226564272844
57,0.044054302729537954
58,0.07573815101228677
59,0.033425664426874065
60,0.026738567755273057
61,-0.05921694094158826
62,-0.1792538470606243
63,-0.17937640358680892
64,-0.06756540528746219
65,-0.03454893320442916
66,-0.03897738294960916
67,0.037497140767602785
68,0.008725391944860696
69,-0.021303905374534353
70,-0.05237677678708515
71,-0.03413884148709661
72,-0.05094005983909181
73,-0.05836854150223261
74,-0.03256402534289684
75,-0.007827088896338813
76,0.02083185709200402
77,0.02976837462387299
78,0.025446464808261248
79,-0.0022235023819241456
80,-0.008707483066032421
81,-0.027445648103253353
82,-0.023254214505803738
83,-0.007590181020251003
84,0.004691521281689446
85,0.0005391621252722026
86,-0.005214646035810405
87,-0.004535889503373531
88,0.0021849183899267832
89,0.005474574696922365
