X,Y
1,0.6362514823307845
2,0.371451271808055
3,0.08068185644866857
4,0.07464919126647353
5,0.1085237812324222
6,0.2068254168778794
7,0.21579106277004603
8,0.1346098865214466
9,-0.01401012586949459
10,-0.13120356979983766
11,-0.2371744033536156
12,-0.24516262141362885
13,-0.2650881701502261
14,-0.23085234224079754
15,-0.21971883253501603
16,-0.17343174789535404
17,-0.2234062676579215
18,-0.275039738950546
19,-0.2538997771296133
20,-0.31703688462078483
21,-0.2370491975041936
22,-0.2510610864319163
23,-0.13497840376088813
24,-0.09590881196095713
25,-0.03615959809172993
26,-0.02516861147044695
27,0.012158078649650362
28,0.0416015781025505
29,0.09527915609775542
30,0.11018119248941527
31,0.11543650120475027
32,0.12052933129008435
33,0.17111420850950035
34,0.1901938724721133
35,0.16753499202321664
36,0.06515405329338261
37,0.04716079886054918
38,0.06886193673694062
39,0.09231578065164647
40,0.18289689761404587
41,0.20394562138936037
42,0.17911549703056698
43,0.022516259265213934
44,-0.0944414969642215
45,-0.11689014162624489
46,-0.0741566395137516
47,0.045580864855773964
48,0.09538593014374971
49,0.055290057121271254
50,-0.049782764871894425
51,-0.12054058089840887
52,-0.16243923510393324
53,-0.09330726561260563
54,-0.041598468312574625
55,0.009519292395084365
56,0.026720587356088555
57,0.05827160946091942
58,0.031297095216184026
59,0.003142364806145522
60,-0.0632493714599948
61,-0.06783248540082773
62,-0.08839315831386473
63,-0.054877587136325595
64,-0.02419320272710913
65,0.007081640300600896
66,0.0024334260990083365
67,-0.016744752728130436
68,-0.04256727762080858
69,-0.0319300461784085
70,-0.03845177158009067
71,-0.018714101777983886
72,0.00414481983757833
73,0.0015223625511979822
74,0.0028986806579143513
75,-0.0048353521440665185
76,-7.657855908848132e-05
77,0.0020194176590809416
78,0.008217720789864906
79,-0.014302964953739866
80,0.0011538023120717894
81,0.010789744932978719
82,0.01651880409357066
83,-0.006577727661511763
84,-0.01045836128044322
85,-0.0025985041829836956
86,0.00294095500839242
87,0.0031689489087143043
88,0.0029031442136326943
89,-0.0004709462103609057
