X,Y
1,0.4016398531421793
2,0.13136435823181494
3,-0.10312724949526716
4,0.023571767926841545
5,0.020718823488550954
6,0.14609152944644682
7,0.028927480959495367
8,-0.0866859904410483
9,-0.1284793688106503
10,-0.0038653131998963924
11,-0.0007106110109346049
12,-0.013019750100331798
13,-0.11572721583925612
14,-0.17673876867108695
15,-0.09702137221806247
16,0.05098270753463998
17,0.039489894114527836
18,0.00964267109250095
19,-0.03593813526421016
20,-0.15332869381373113
21,-0.1335636367753273
22,-0.10656665260713125
23,0.0371470952657396
24,0.03530984509633203
25,0.10133460017388081
26,0.013899153922328369
27,0.04975445663221437
28,-0.01658268341792228
29,0.11351663038143567
30,0.09078335980048878
31,0.1326739335198802
32,0.02532876340724225
33,0.019025639394879876
34,-0.009293606500713229
35,-0.014359844145525756
36,-0.00486579136986348
37,0.004776235187816039
38,0.00360748594092228
39,0.02712712954869987
40,0.05155235137403141
41,0.08848496759563497
42,0.0514774509980287
43,-0.09690479659749981
44,-0.23779113850583877
45,-0.21600539248406742
46,-0.11971417216428837
47,0.0003949808269024875
48,-0.008091948051273844
49,-0.07363076542288984
50,-0.20349240286860917
51,-0.16732097061788273
52,-0.08011667522725725
53,-0.019936019700515287
54,-0.012802734021816737
55,-0.017503904473363186
56,-0.00853746658237195
57,0.060188740949862485
58,0.10242482006179343
59,0.06847175897505192
60,0.0035890616016408237
61,-0.018207163553838546
62,-0.027231995351968758
63,0.004055911097475946
64,0.054187493379730535
65,0.0968401479647727
66,0.03613852719642253
67,-0.006304164590395541
68,-0.019747602196142112
69,-0.0380658141888126
70,-0.05893956942883711
71,0.004169284306393571
72,0.025335190843596977
73,-0.02681795465414928
74,-0.03603119359255451
75,-0.03850912284749015
76,0.01621015778766503
77,0.00875302361808888
78,0.0046950716848426525
79,-0.026643006182450663
80,-0.014905117214863215
81,0.030624603377757263
82,0.03773657096726009
83,-0.004928326878032518
84,-0.013134841749151966
85,-0.0028146884018975973
86,0.014353951003204874
87,0.009800436580992637
88,0.009315207063815686
89,0.00849050776539421
