X,Y
1,0.7549788287069634
2,0.5771030770691444
3,0.4440869301439279
4,0.3344957872216367
5,0.19064667133774857
6,0.17415891118452864
7,0.10885706920797625
8,0.0506756105334058
9,-0.03443356783987537
10,-0.10131019265987984
11,-0.20807889120193745
12,-0.23461278020551377
13,-0.32968221451299373
14,-0.40209992437665015
15,-0.4291833173017116
16,-0.35342803399695594
17,-0.3140780815292171
18,-0.24954935702087888
19,-0.19080195089888932
20,-0.20876303883502415
21,-0.21199476360467967
22,-0.19730218890656012
23,-0.16391198807258672
24,-0.1322777000771065
25,-0.024096272811765882
26,0.03354272142434845
27,0.08245826552311923
28,0.14112836484934652
29,0.20456774061067273
30,0.18482062648239733
31,0.16769590208068805
32,0.1418878346875372
33,0.1428102922007731
34,0.14492378187848923
35,0.1658410999187334
36,0.1446503406836128
37,0.1687669828911163
38,0.15736802615347184
39,0.12944155233845794
40,0.08098873696844525
41,0.07956653052204213
42,0.0002887006263260463
43,-0.10315094198985957
44,-0.13119182347572686
45,-0.11558373240049986
46,-0.10712421303075291
47,-0.07606352198515268
48,-0.10816280166744482
49,-0.15317423933165225
50,-0.20065395036283334
51,-0.21428658118979618
52,-0.18667726537993715
53,-0.12657965772744753
54,-0.06625246832447414
55,-0.006724329892967246
56,0.03131597706857091
57,0.04753757608262436
58,0.05492057442023273
59,0.05344088251149108
60,0.02008809634220786
61,-0.004897393564063391
62,-0.03428972368440336
63,-0.03642282138683263
64,-0.011721314907018486
65,0.01674265205835641
66,0.03164688980127081
67,0.01650467737277711
68,-0.004309675456240355
69,-0.02442763942410825
70,-0.03907647215426561
71,-0.031118019077934236
72,-0.02240288954890648
73,-0.016462911574064827
74,-0.004513888762010628
75,0.0047716794117129155
76,0.0086457156479697
77,0.0125610600284206
78,0.008699222166484893
79,0.003952943422451312
80,0.001820671728141492
81,-0.0008222668779146056
82,-0.0017536834935580092
83,-0.003817250855773113
84,-0.004041642955004432
85,0.00015070273607658126
86,0.0022924333564766897
87,0.0005993387241491193
88,-0.00017529347171541941
89,4.119968026069458e-05
