X,Y
1,0.6799293564585183
2,0.4786300301143907
3,0.2987536897946929
4,0.1699450044697902
5,0.051234208058572143
6,0.030805217123299457
7,-0.07086292719790364
8,-0.11786932619592451
9,-0.18975174509255377
10,-0.16810578027130813
11,-0.26075108272236297
12,-0.2787163784318136
13,-0.36734388076802765
14,-0.42060844135397535
15,-0.42162143804466123
16,-0.2911953629524044
17,-0.2573544433897911
18,-0.1781871019845325
19,-0.1195693874335155
20,-0.11673122496174809
21,-0.10528389457147434
22,-0.08871172871477982
23,-0.016613151846657098
24,0.003554211762552056
25,0.07369710487865394
26,0.14281468906385492
27,0.1376163891907325
28,0.19204215442351363
29,0.2605287385727335
30,0.2393590603816546
31,0.2541642798343323
32,0.18054209377321964
33,0.15152735860586514
34,0.1276939326859689
35,0.1583009718444544
36,0.11001900539071446
37,0.07428840664968156
38,0.04059693628046223
39,0.03817768261143516
40,-0.006597072851496943
41,-0.0031368082386595696
42,-0.0692346874386642
43,-0.17218723781929618
44,-0.21520177023515183
45,-0.1700007608393149
46,-0.148837844350289
47,-0.09256159621173844
48,-0.0957038295190733
49,-0.13642165747024113
50,-0.1792081579221155
51,-0.15979203454896487
52,-0.11486049606223324
53,-0.06975563509944202
54,-0.01843174955175475
55,0.05883013637460924
56,0.12765776223520683
57,0.18557303053398577
58,0.20624572313772613
59,0.1951655061613457
60,0.12716907791936713
61,0.053535561949780215
62,-0.02001620631355641
63,-0.0573882781883612
64,-0.01937871243590947
65,0.0111520816181787
66,0.012062180099730615
67,-0.009652071087950895
68,-0.02602954887800632
69,-0.034929132368131215
70,-0.051416155438673075
71,-0.038929744316248426
72,-0.02530974297143067
73,-0.019202237403181433
74,-0.007077172912232308
75,0.006448717338332909
76,0.019213100481897234
77,0.020172750216065013
78,0.012603063300538259
79,-0.00089546484403051
80,0.0008867822139891097
81,0.0032962231590737507
82,0.0028668718365143456
83,-0.0029496755191616374
84,-0.0023272348634705026
85,0.0007879971923600104
86,0.0004983362954884251
87,-0.0008749271988599311
88,-0.0006553098461393208
89,-0.00014517535606894017
