Type,Lasso,KNN,Ridge,BayesianRidge,DecisionTree,ElasticNet,ExtraTrees,LinearRegression,SupportVectorRegression,XGBoost,ARIMA,GRU,MLP,LSTM
RMSE,337.48,342.33,299.48,325.33,548.51,299.48,285.1,363.92,311.92,319.43,270.54,304.17,320.65,298.15
MAE,255.41,254.25,225.97,240.35,356.01,225.97,220.9,269.44,241.71,246.55,219.84,249.85,268.96,230.86
